docid,date,hottness
224649,2009-12-29 18:30:00+00:00,1399.24
225948,2009-12-23 18:30:00+00:00,1388.1971213
226068,2009-06-21 18:30:00+00:00,1032.52
226292,2008-02-25 18:30:00+00:00,107.5571213
227394,2008-04-04 18:30:00+00:00,181.96
228553,2007-05-24 18:30:00+00:00,-424.76
228901,2009-08-26 18:30:00+00:00,1159.7171213
231022,2009-12-30 18:30:00+00:00,1401.6371213
232816,2009-05-28 18:30:00+00:00,986.9171213
233615,2009-12-19 18:30:00+00:00,1380.5171213
234686,2008-06-16 18:30:00+00:00,322.12
234715,2009-12-17 18:30:00+00:00,1376.89897
237149,2008-06-18 18:30:00+00:00,326.26103
237656,2009-12-30 18:30:00+00:00,1401.6371213
237716,2009-12-29 18:30:00+00:00,1399.24
238657,2009-08-11 18:30:00+00:00,1130.74103
239631,2009-10-02 18:30:00+00:00,1230.7571213
239729,2009-08-04 18:30:00+00:00,1117.0
239837,2009-12-21 18:30:00+00:00,1384.3571213
240000,2009-12-22 18:30:00+00:00,1386.2771213
240913,2009-11-11 18:30:00+00:00,1307.68206
241500,2009-11-16 18:30:00+00:00,1316.68
241812,2009-12-14 18:30:00+00:00,1370.9171213
241827,2009-05-21 18:30:00+00:00,973.0
241830,2009-12-28 18:30:00+00:00,1397.32
242106,2009-12-26 18:30:00+00:00,1393.48
242204,2009-12-26 18:30:00+00:00,1393.78103
242268,2009-12-09 18:30:00+00:00,1361.14103
242755,2009-03-07 18:30:00+00:00,829.4771213
242781,2009-03-01 18:30:00+00:00,817.9571213
243213,2009-12-22 18:30:00+00:00,1386.2771213
245494,2009-12-21 18:30:00+00:00,1383.88
246006,2009-11-27 18:30:00+00:00,1337.8
246011,2009-12-14 18:30:00+00:00,1370.44
246107,2009-10-28 18:30:00+00:00,1280.2
246450,2009-06-22 18:30:00+00:00,1034.9171213
246665,2009-12-26 18:30:00+00:00,1393.9571213
247038,2009-12-28 18:30:00+00:00,1397.7971213
247628,2007-06-20 18:30:00+00:00,-372.1418487
247638,2009-05-16 18:30:00+00:00,963.70103
248408,2009-12-26 18:30:00+00:00,1393.9571213
249974,2008-02-23 18:30:00+00:00,103.54103
250137,2007-10-24 18:30:00+00:00,-130.5228787
250138,2007-10-24 18:30:00+00:00,-130.5228787
250435,2009-01-29 18:30:00+00:00,757.96
250587,2009-03-07 18:30:00+00:00,830.2787536
250588,2009-11-23 18:30:00+00:00,1331.42103
250590,2009-10-01 18:30:00+00:00,1228.8371213
250596,2009-12-24 18:30:00+00:00,1390.1171213
251646,2009-12-30 18:30:00+00:00,1401.6371213
252080,2009-12-30 18:30:00+00:00,1401.46103
252097,2009-01-28 18:30:00+00:00,756.04
252098,2009-12-26 18:30:00+00:00,1394.08206
252182,2009-08-19 18:30:00+00:00,1146.10103
252193,2009-04-03 18:30:00+00:00,880.84
252195,2009-01-13 18:30:00+00:00,727.24
252199,2009-09-24 18:30:00+00:00,1214.92
252200,2009-12-16 18:30:00+00:00,1374.28
252390,2008-12-10 18:30:00+00:00,662.4371213
253077,2008-10-16 18:30:00+00:00,556.66103
253122,2009-09-03 18:30:00+00:00,1174.6
253233,2009-12-30 18:30:00+00:00,1401.16
253344,2009-12-28 18:30:00+00:00,1397.7971213
253361,2009-11-17 18:30:00+00:00,1318.6
253369,2009-11-08 18:30:00+00:00,1301.92206
253371,2009-07-17 18:30:00+00:00,1082.44
253431,2009-12-18 18:30:00+00:00,1378.12
253436,2009-12-30 18:30:00+00:00,1401.6371213
253566,2009-12-23 18:30:00+00:00,1387.72
253601,2009-11-08 18:30:00+00:00,1301.62103
253693,2009-04-22 18:30:00+00:00,918.3991812
253694,2009-12-30 18:30:00+00:00,1401.46103
253735,2009-12-07 18:30:00+00:00,1357.0
253743,2007-10-24 18:30:00+00:00,-130.5228787
253783,2009-12-27 18:30:00+00:00,1395.4
253788,2002-02-04 18:30:00+00:00,-4139.96
253812,2009-12-28 18:30:00+00:00,1397.62103
253865,2009-11-26 18:30:00+00:00,1335.88
253916,2008-12-22 18:30:00+00:00,685.0
253917,2009-12-17 18:30:00+00:00,1376.2
253947,2009-12-30 18:30:00+00:00,1401.16
254195,2009-08-30 18:30:00+00:00,1168.1504489
254826,2009-12-29 18:30:00+00:00,1399.7171213
255207,2009-12-19 18:30:00+00:00,1380.9942425
255733,2009-10-18 18:30:00+00:00,1261.4771213
256042,2009-08-11 18:30:00+00:00,1130.44
256510,2009-06-29 18:30:00+00:00,1048.18103
256694,2009-12-30 18:30:00+00:00,1401.16
256737,2009-08-05 18:30:00+00:00,1118.92
256771,2009-12-14 18:30:00+00:00,1371.6952725
256780,2009-11-15 18:30:00+00:00,1315.2371213
256802,2009-05-08 18:30:00+00:00,948.34103
256869,2009-12-16 18:30:00+00:00,1374.7571213
256907,2009-12-29 18:30:00+00:00,1399.24
256909,2009-12-27 18:30:00+00:00,1395.4
256940,2009-12-06 18:30:00+00:00,1355.08
256974,2009-12-22 18:30:00+00:00,1386.2771213
256983,2009-12-30 18:30:00+00:00,1401.6371213
257092,2007-10-24 18:30:00+00:00,-131.0
257158,2009-12-30 18:30:00+00:00,1401.6371213
257181,2009-11-05 18:30:00+00:00,1296.16206
257289,2009-12-19 18:30:00+00:00,1380.04
257332,2009-08-20 18:30:00+00:00,1148.02103
257367,2009-12-30 18:30:00+00:00,1401.6371213
257368,2009-12-29 18:30:00+00:00,1399.54103
257450,2009-12-14 18:30:00+00:00,1370.9171213
257527,2009-12-14 18:30:00+00:00,1370.74103
257554,2009-12-25 18:30:00+00:00,1391.56
257572,2009-03-06 18:30:00+00:00,827.5571213
257715,2009-12-29 18:30:00+00:00,1399.7171213
257727,2009-10-31 18:30:00+00:00,1286.4371213
257779,2009-03-12 18:30:00+00:00,839.0771213
257848,2009-03-07 18:30:00+00:00,829.30103
257861,2009-12-22 18:30:00+00:00,1385.8
257875,2009-12-17 18:30:00+00:00,1376.6771213
257905,2009-12-17 18:30:00+00:00,1376.6771213
258002,2009-12-30 18:30:00+00:00,1401.16
258012,2009-09-07 18:30:00+00:00,1182.7571213
258047,2008-12-09 18:30:00+00:00,660.04
258083,2009-12-30 18:30:00+00:00,1401.46103
258164,2009-11-19 18:30:00+00:00,1322.9171213
258232,2009-03-11 18:30:00+00:00,836.68
258282,2009-11-30 18:30:00+00:00,1344.0371213
258334,2009-12-09 18:30:00+00:00,1361.3171213
258378,2009-12-12 18:30:00+00:00,1367.0771213
258447,2008-11-05 18:30:00+00:00,595.2371213
258501,2009-12-28 18:30:00+00:00,1398.01897
258506,2009-08-12 18:30:00+00:00,1132.36
258557,2009-12-03 18:30:00+00:00,1349.7971213
258573,2009-12-30 18:30:00+00:00,1401.76206
258650,2009-11-22 18:30:00+00:00,1328.6771213
258734,2009-12-23 18:30:00+00:00,1388.1971213
258875,2009-12-29 18:30:00+00:00,1399.7171213
259023,2009-02-24 18:30:00+00:00,808.3571213
259025,2009-02-10 18:30:00+00:00,781.4771213
259081,2009-05-28 18:30:00+00:00,986.44
259110,2009-12-29 18:30:00+00:00,1399.7171213
259132,2009-12-30 18:30:00+00:00,1402.06309
259257,2009-03-07 18:30:00+00:00,829.4771213
259279,2009-12-29 18:30:00+00:00,1399.84206
259361,2007-12-06 18:30:00+00:00,-48.44
259579,2009-12-30 18:30:00+00:00,1401.6371213
